表名,欄位名稱,欄位ID,資料類型,說明,範例值
projects,專案ID,id,TEXT PRIMARY KEY,唯一識別碼,proj_20250813_001
projects,商機ID,opportunity_id,TEXT NOT NULL,關聯到fx-crm-database的newopportunityobj,96ce6b00-fbd7-4b09-bcd0-dcd09f8e7c01
projects,專案名稱,name,TEXT NOT NULL,專案名稱,勝美-建功段-2023
projects,SPC工程設定,spc_engineering,TEXT (JSON),儲存SPC工程設定,"{""enabled"":true,""siteCount"":90,""teamCount"":9,""maintenanceCount"":5,""announcementCount"":3}"
projects,浴櫃工程設定,cabinet_engineering,TEXT (JSON),儲存浴櫃工程設定,"{""enabled"":false}"
projects,維修單設定,maintenance,TEXT (JSON),儲存維修單設定,"{""enabled"":true,""autoNotify"":false}"
projects,進度管理設定,progress_management,TEXT (JSON),儲存進度管理公告設定,"{""enabled"":true,""frequency"":""weekly""}"
projects,權限設定,permissions,TEXT (JSON),儲存權限設定,"{""owner"":""user_001"",""teams"":[{""name"":""工班A"",""leaderId"":""master_001"",""canViewOthers"":true}]}"
projects,統計快取,cached_stats,TEXT (JSON),儲存計算後的統計資料,"{""building_count"":5,""unit_count"":90,""completion_rate"":45}"
projects,統計更新時間,stats_updated_at,DATETIME,統計資料最後更新時間,2025-08-13 15:30:00
projects,專案狀態,status,TEXT DEFAULT 'active',專案狀態,active/completed/pending
projects,建立者,created_by,TEXT,建立專案的使用者,user_team_1_leader
projects,建立時間,created_at,DATETIME DEFAULT CURRENT_TIMESTAMP,專案建立時間,2025-08-13 10:00:00
projects,更新時間,updated_at,DATETIME DEFAULT CURRENT_TIMESTAMP,最後更新時間,2025-08-13 15:30:00
,,,,
users,使用者ID,id,TEXT PRIMARY KEY,唯一識別碼,user_001
users,手機號碼,phone,TEXT UNIQUE NOT NULL,手機號碼作為登入ID,0912345678
users,密碼後綴,password_suffix,TEXT NOT NULL,手機末3碼作為密碼,678
users,姓名,name,TEXT,使用者姓名,王小明
users,電子郵件,email,TEXT,電子郵件地址,wang@example.com
users,角色,role,TEXT DEFAULT 'member',使用者角色,admin/owner/leader/member
users,可存取專案,user_projects,TEXT (JSON),陣列儲存使用者可存取的專案,"[""proj_001"",""proj_002""]"
